seed,completed_count,failed_count,beats_raw_count,non_beating_count,median_raw_gps_rmse_xy_m,mean_raw_gps_rmse_xy_m,median_eskf_rmse_xy_m,mean_eskf_rmse_xy_m
1,876,0,876,0,2.75144,2.7484366210045663,0.899214,0.9179217716894977
2,876,0,876,0,2.7822750000000003,2.777750616438356,0.7881805,0.8282469246575342
3,876,0,876,0,2.90315,2.91455252283105,0.8687199999999999,0.8815829280821917
4,876,0,876,0,2.58169,2.5737468378995434,0.8658254999999999,0.8877056723744292
5,876,0,876,0,2.7166,2.7146760616438357,0.690543,0.7220553858447488
6,876,0,876,0,2.88029,2.8212188356164383,0.824364,0.8458738778538812
7,876,0,876,0,2.94985,2.9187456278538813,1.015245,1.0212464452054795
8,876,0,876,0,2.83056,2.8211897146118723,0.781855,0.8155001929223744
9,876,0,875,1,2.68512,2.684536130136986,0.955748,0.9701271974885844
10,876,0,876,0,2.747975,2.74660654109589,0.784853,0.8228713424657534
11,876,0,876,0,2.8683,2.862991232876712,0.8777934999999999,0.9046522305936073
12,876,0,876,0,2.72601,2.7072705479452055,0.787725,0.8027282111872146
13,876,0,876,0,2.72233,2.7113214611872145,0.8735355,0.8953068904109589
14,876,0,876,0,2.81106,2.8115012899543377,0.7609755,0.7849458767123287
15,876,0,876,0,2.78339,2.8001073401826484,0.8272515,0.860333845890411
16,876,0,876,0,2.80064,2.7841337671232878,0.754147,0.7874381735159818
17,876,0,876,0,2.80881,2.8023604794520547,0.684677,0.7095381700913242
18,876,0,876,0,2.80835,2.8037427625570777,0.880064,0.9070929041095891
19,876,0,876,0,2.705085,2.6996432305936073,0.6751435,0.7043893573059361
20,876,0,876,0,2.62497,2.629148515981735,0.7498914999999999,0.7782594246575343
21,876,0,876,0,2.90444,2.891639600456621,0.7023105000000001,0.7426510319634703
22,876,0,876,0,2.95254,2.956269703196347,0.922116,0.9465367363013699
23,876,0,876,0,2.74003,2.7495214840182647,0.8578565,0.8848725764840183
24,876,0,876,0,2.86137,2.858878002283105,0.969711,1.0081299417808218
25,876,0,876,0,2.8359300000000003,2.840406095890411,0.866198,0.8764145445205479
26,876,0,876,0,2.7862999999999998,2.7818667579908674,0.7229034999999999,0.7519934691780822
27,876,0,876,0,2.81972,2.812697602739726,0.874457,0.8993635102739727
28,876,0,876,0,2.98676,2.9956212899543377,0.6826760000000001,0.7334938824200913
29,876,0,876,0,2.77612,2.7743238470319636,0.8168475,0.8560679006849315
30,876,0,876,0,2.85108,2.845911301369863,0.6979895,0.7284392819634703
31,876,0,876,0,2.95825,2.954995091324201,0.744964,0.7662854589041096
32,876,0,876,0,2.92912,2.9208673630136985,0.847439,0.8748670810502283
33,876,0,876,0,2.64039,2.63543654109589,0.8465165,0.8610960433789955
34,876,0,876,0,2.80022,2.7968837557077624,0.7784774999999999,0.8196505924657534
35,876,0,876,0,3.037635,3.04404252283105,0.8591445,0.8921536289954338
36,876,0,876,0,2.84865,2.8325939383561645,0.7600465000000001,0.7950590388127854
37,876,0,876,0,2.92336,2.916234223744292,1.039425,1.0248672294520549
38,876,0,876,0,2.64733,2.65192899543379,0.7695525000000001,0.7932918082191781
39,876,0,876,0,2.9531,2.9569995433789953,0.8807765000000001,0.9079477808219178
40,876,0,876,0,2.8781,2.872921529680365,0.7628855,0.79109124543379
41,876,0,876,0,2.92769,2.9160564954337898,0.9482975,0.9586882842465754
42,876,0,876,0,2.97056,2.9929157534246573,0.816632,0.8490674063926941
43,876,0,876,0,2.86769,2.872137899543379,0.9267559999999999,0.9597825821917808
44,876,0,876,0,2.80696,2.8119067351598175,0.753037,0.7796278961187214
45,876,0,876,0,2.78327,2.7739002397260273,0.8195870000000001,0.850004002283105
46,876,0,876,0,2.8130249999999997,2.8161059474885843,0.6962325,0.7376227134703196
47,876,0,876,0,2.931255,2.928640171232877,0.881231,0.9191027294520548
48,876,0,876,0,2.70044,2.7093791438356165,0.762077,0.7977459212328767
49,876,0,876,0,2.840955,2.85016899543379,0.63863,0.676405294520548
50,876,0,876,0,2.90334,2.9070743721461185,0.7543135000000001,0.7940448881278539
51,876,0,876,0,2.87117,2.883656415525114,0.7518465000000001,0.7807196392694064
52,876,0,876,0,3.09239,3.100195776255708,1.079265,1.0768379520547946
53,876,0,876,0,2.66105,2.646180730593607,0.6017965000000001,0.6441843778538813
54,876,0,876,0,2.76235,2.7481628881278537,0.9240545,0.9312261347031964
55,876,0,876,0,2.72158,2.7146342123287672,0.775752,0.797900292237443
56,876,0,876,0,2.79761,2.807510308219178,0.6821415,0.7332654942922374
57,876,0,876,0,2.97952,2.9708117465753423,0.7639324999999999,0.7913815593607306
58,876,0,876,0,2.70954,2.709976506849315,0.7219855,0.7494965570776255
59,876,0,876,0,2.84107,2.825985696347032,0.7087755,0.7514595456621005
60,876,0,876,0,2.67208,2.6968072602739728,0.6700349999999999,0.7113387397260273
61,876,0,876,0,2.82977,2.8257279680365297,0.7144185000000001,0.7491617773972603
62,876,0,876,0,2.8852,2.88435350456621,0.8709045,0.8981558755707763
63,876,0,876,0,2.68665,2.6711156735159816,0.7972485,0.8224714235159817
64,876,0,876,0,2.74514,2.7502144292237443,0.8225355000000001,0.853066890410959
65,876,0,876,0,2.62978,2.6280572260273973,0.7174695,0.7488146792237443
66,876,0,876,0,2.78168,2.776091689497717,0.8578600000000001,0.8546475125570776
